Species,Reference_species,Method,parameter,Lane_Cove_NSW,Turramurra_NSW,Abaroo_Creek_NSW,Alfords_Point_NSW,Gulguer_Plateau_NSW,Prospect_Reservoir_NSW,Yeramba_Lagoon_NSW,Castlemaine_VIC,Greendale_VIC,all_data_NSW_fires
C8H10,C7H8 (toluene),SIFT-MS,ER unc,,,,,,,,,,0.04
C8H10,C7H8 (toluene),SIFT-MS,R2,,,,,,,,,,0.75
C10H16 + C10H18O (monoterpenes),CH3OH,SIFT-MS,ER,,,,,,,,,,0.042
C10H16 + C10H18O (monoterpenes),CH3OH,SIFT-MS,ER unc,,,,,,,,,,0.006
C10H16 + C10H18O (monoterpenes),CH3OH,SIFT-MS,R2,,,,,,,,,,0.86
CH4,CO,OP-FTIR,ER,0.062,0.048,0.046,0.063,0.041,,,0.0571,0.0633,
CH4,CO,OP-FTIR,ER unc,0.005,0.004,0.003,0.005,0.003,,,0.0006,0.0005,
CH4,CO,OP-FTIR,R2,0.91,0.98,0.98,0.97,0.98,,,0.97,0.99,
C2H4,CO2,OP-FTIR,ER,0.0016,0.0010,0.0010,0.0015,0.0010,,,0.00118,0.00105,
C2H4,CO2,OP-FTIR,ER unc,0.0003,0.0002,0.0002,0.0003,0.0002,,,0.00001,0.00002,
C2H4,CO2,OP-FTIR,R2,0.83,0.96,0.97,0.98,0.95,,,0.97,0.91,
C2H6,CO,OP-FTIR,ER,,,,0.0037,,,,,,
C2H6,CO,OP-FTIR,ER unc,,,,0.0010,,,,,,
C2H6,CO,OP-FTIR,R2,,,,0.81,,,,,,
H2CO,CO2,OP-FTIR,ER,0.0022,0.0013,0.0012,0.0016,0.0015,,,0.00133,0.00113,
H2CO,CO2,OP-FTIR,ER unc,0.0003,0.0002,0.0002,0.0002,0.0002,,,0.00002,0.00003,
H2CO,CO2,OP-FTIR,R2,0.73,0.89,0.90,0.98,0.91,,,0.94,0.82,
CH3OH,CO,OP-FTIR,ER,0.026,0.013,0.013,0.021,0.012,,,0.0144,0.0154,
CH3OH,CO,OP-FTIR,ER unc,0.002,0.001,0.001,0.002,0.001,,,0.0002,0.0006,
CH3OH,CO,OP-FTIR,R2,0.90,0.95,0.93,0.97,0.94,,,0.96,0.95,
CH3COOH,CO,OP-FTIR,ER,0.019,0.012,0.012,0.017,0.015,,,0.0303,0.0331,
CH3COOH,CO,OP-FTIR,ER unc,0.003,0.002,0.002,0.002,0.002,,,0.0003,0.0005,
CH3COOH,CO,OP-FTIR,R2,0.86,0.85,0.97,0.98,0.93,,,0.98,0.95,
HCOOH,CO,OP-FTIR,ER,0.0033,0.0015,0.0017,0.0020,0.0020,,,0.00321,0.00414,
HCOOH,CO,OP-FTIR,ER unc,0.0006,0.0003,0.0003,0.0004,0.0004,,,0.00005,0.00007,
HCOOH,CO,OP-FTIR,R2,0.80,0.69,0.88,0.96,0.92,,,0.94,0.93,
NH3,CO,OP-FTIR,ER,0.026,0.015,0.023,0.030,0.012,,,0.0276,0.0291,
NH3,CO,OP-FTIR,ER unc,0.004,0.002,0.003,0.004,0.002,,,0.0003,0.0004,
NH3,CO,OP-FTIR,R2,0.90,0.85,0.93,0.93,0.91,,,0.98,0.95,
N2O,CO2,OP-FTIR,ER,,,,0.000054,0.00013,,,,,
N2O,CO2,OP-FTIR,ER unc,,,,0.000008,0.00002,,,,,
N2O,CO2,OP-FTIR,R2,,,,0.87,0.81,,,,,
